hydro_year,hq,V_hm3
1970,4,27.89424
1971,1,70.406496
1971,2,87.534432
1971,3,215.063424
1971,4,71.09856
1972,1,106.480224
1972,2,152.6256
1972,3,58.034016
1972,4,93.75264
1973,1,119.64672
1973,2,111.748032
1973,3,58.504032
1973,4,43.832448
1974,1,58.00896
1974,2,94.89312
1974,3,74.811168
1974,4,40.151808
1975,1,56.67408
1975,2,65.890368
1975,3,90.027072
1975,4,29.5704
1976,1,12.96432
1976,2,16.658784
1976,3,11.40048
1976,4,4.653504
1977,1,39.07008
1977,2,163.696896
1977,3,113.010336
1977,4,55.444608
1978,1,77.86368
1978,2,115.471872
1978,3,71.4528
1978,4,41.643936
1979,1,26.663904
1979,2,99.484416
1979,3,84.33072
1979,4,44.656704
1980,1,71.879616
1980,2,125.762112
1980,3,75.568896
1980,4,32.21424
1981,1,34.929792
1981,2,48.149856
1981,3,21.603456
1981,4,1.581984
1982,1,5.81472
1982,2,36.829728
1982,3,8.370432
1982,4,0.571104
1983,2,14.604192
1983,3,0.765504
1983,4,1.466208
1984,1,1.237248
1984,2,15.488064
1984,3,37.990944
1984,4,2.309472
1985,1,29.941056
1985,2,40.86288
1985,3,4.602528
1985,4,2.348352
1986,1,3.014496
1986,2,18.164736
1986,3,12.845952
1986,4,7.216128
1987,1,29.79504
1987,2,46.558368
1987,4,2.366496
1988,1,25.606368
1988,2,56.123712
1988,3,201.216096
1988,4,67.654656
1989,1,75.079008
1989,2,57.120768
1989,3,59.730048
1990,1,34.636896
1990,2,54.650592
1990,3,10.347264
1990,4,12.487392
1991,1,31.494528
1991,2,54.679968
1991,3,52.615008
1991,4,12.203136
1992,1,35.105184
1992,2,23.707296
1992,3,3.340224
1992,4,2.444256
1993,1,16.288992
1993,2,13.308192
1993,3,2.071008
1993,4,1.588032
1994,1,18.954432
1994,2,7.656768
1994,3,0.667008
1994,4,0.24192
1995,1,5.06736
1995,2,2.801088
1995,3,0.296352
1995,4,0.4968000000000001
1996,1,4.522176
1996,2,66.636864
1996,3,1.713312
1996,4,2.067552
1997,1,18.185472
1997,2,121.440384
1997,3,54.972864
1997,4,38.268288
1998,1,63.347616
1998,2,81.06912
1998,3,23.999328
1998,4,4.74336
1999,1,20.937312
1999,2,26.227584
1999,3,4.481568
1999,4,10.069056
2000,1,22.629024
2000,2,17.845056
2000,3,5.997888
2000,4,0.5616
2001,1,21.429792
2001,2,46.536768
2001,3,0.906336
2001,4,0.6048
2002,1,6.621696
2002,2,6.869664
2002,3,1.68912
2002,4,5.435424
2003,1,24.277536
2003,2,55.979424
2003,3,63.070272
2005,2,55.260576
2005,3,4.72176
2005,4,0.432
2006,1,27.093312
2006,2,35.189856
2006,3,1.785888
2006,4,5.742144
2007,1,13.918176
2007,2,15.558912
2007,3,72.30816
2007,4,0.541728
2008,1,12.69648
2008,2,13.75056
2008,3,47.402496
2008,4,1.696896
2009,1,41.859072
2009,2,69.784416
2009,3,16.81344
2009,4,0.530496
2010,1,18.539712
2010,2,80.193888
2010,3,53.310528
2010,4,6.679584
2011,1,36.921312
2011,2,61.23168
2011,3,26.072064
2011,4,3.367008
2012,1,23.048928
2012,2,17.454528
2012,3,2.192832
2012,4,0.67392
2013,1,24.072768
2013,2,44.752608
2013,3,34.697376
2013,4,2.337984
2014,1,25.955424
2014,2,37.126944
2014,3,3.211488
2014,4,12.837312
2015,1,34.137504
2015,2,75.545568
2015,3,13.770432
2015,4,3.741984
2016,1,19.26288
2016,2,49.8312
2016,3,15.877728
2016,4,1.493856
2017,1,22.909824
2018,4,5.821632
2019,1,44.319744
2019,2,38.518848
2019,3,21.04272
2019,4,11.216448
2020,1,32.807808
2020,2,75.645792
2020,3,123.247872
2020,4,20.043936
2021,1,79.411104
2021,2,106.921728
2021,3,31.726944
2021,4,22.444128
